product_id,product_name,category,cost_price,sales_price
1,User-centric incremental Graphical User Interface,Electronics,168.52,213.08
2,Persistent bifurcated project,Home Goods,454.39,968.97
3,Synchronized maximized implementation,Electronics,217.88,297.97
4,Fundamental mission-critical synergy,Electronics,234.85,573.12
5,Multi-layered leadingedge contingency,Home Goods,492.88,772.73
6,Reverse-engineered human-resource architecture,Electronics,171.78,368.64
7,Cloned executive attitude,Clothing,362.62,849.07
8,Future-proofed transitional pricing structure,Clothing,17.4,41.79
9,Extended 24hour workforce,Software,221.46,505.55
10,Automated incremental projection,Electronics,446.58,1076.67
11,Open-source grid-enabled installation,Office Supplies,388.22,974.64
12,Synergized didactic workforce,Food,197.94,468.02
13,Digitized bi-directional function,Electronics,139.12,362.99
14,Re-contextualized bifurcated structure,Office Supplies,175.18,478.64
15,Multi-channeled interactive product,Software,230.6,643.09
16,Grass-roots secondary alliance,Office Supplies,230.63,403.94
17,Devolved modular structure,Software,182.15,526.18
18,Balanced hybrid infrastructure,Electronics,453.79,1033.03
19,Visionary systematic installation,Electronics,74.46,137.76
20,Digitized analyzing architecture,Home Goods,499.39,622.23
21,Switchable systemic knowledgebase,Software,391.55,674.65
22,Expanded solution-oriented implementation,Electronics,234.61,457.24
23,Seamless context-sensitive product,Clothing,121.71,186.86
24,Fully-configurable zero administration emulation,Software,383.26,490.15
25,Fundamental value-added capability,Electronics,330.69,749.17
26,Multi-layered 24/7 synergy,Software,228.91,605.17
27,Devolved multi-tasking strategy,Clothing,457.66,824.26
28,Polarized full-range success,Electronics,428.62,979.68
29,Polarized holistic open system,Food,346.48,972.06
30,Balanced coherent synergy,Office Supplies,371.86,1062.82
